# Time,Step,PotEng
0.000000000000000000e+00,0.000000000000000000e+00,-9.347081700000000637e+03
2.000000000000000000e+02,2.000000000000000000e+03,-9.357667799999999261e+03
4.000000000000000000e+02,4.000000000000000000e+03,-9.363863699999999881e+03
6.000000000000000000e+02,6.000000000000000000e+03,-9.349430099999999584e+03
8.000000000000000000e+02,8.000000000000000000e+03,-9.361891799999999421e+03
1.000000000000000000e+03,1.000000000000000000e+04,-9.370920500000000175e+03
1.200000000000000000e+03,1.200000000000000000e+04,-9.362960900000000038e+03
1.400000000000000000e+03,1.400000000000000000e+04,-9.363044400000000678e+03
1.600000000000000000e+03,1.600000000000000000e+04,-9.362514199999999619e+03
1.800000000000000000e+03,1.800000000000000000e+04,-9.355379899999999907e+03
2.000000000000000000e+03,2.000000000000000000e+04,-9.363597799999999552e+03
2.200000000000000000e+03,2.200000000000000000e+04,-9.363449399999999514e+03
2.400000000000000000e+03,2.400000000000000000e+04,-9.360563000000000102e+03
2.600000000000000000e+03,2.600000000000000000e+04,-9.362859800000000178e+03
2.800000000000000000e+03,2.800000000000000000e+04,-9.368983899999999267e+03
3.000000000000000000e+03,3.000000000000000000e+04,-9.353650299999999334e+03
3.200000000000000000e+03,3.200000000000000000e+04,-9.366944499999999607e+03
3.400000000000000000e+03,3.400000000000000000e+04,-9.358410099999999147e+03
3.600000000000000000e+03,3.600000000000000000e+04,-9.354021199999999226e+03
3.800000000000000000e+03,3.800000000000000000e+04,-9.364671200000000681e+03
4.000000000000000000e+03,4.000000000000000000e+04,-9.357599200000000565e+03
4.200000000000000000e+03,4.200000000000000000e+04,-9.357572899999999208e+03
4.400000000000000000e+03,4.400000000000000000e+04,-9.364078199999999924e+03
4.600000000000000000e+03,4.600000000000000000e+04,-9.352042199999999866e+03
4.800000000000000000e+03,4.800000000000000000e+04,-9.354541499999999360e+03
5.000000000000000000e+03,5.000000000000000000e+04,-9.367939599999999700e+03
5.200000000000000000e+03,5.200000000000000000e+04,-9.357454499999999825e+03
